Flavor,Comparison,Effect_Size_Diff,CI_Lower,CI_Upper,P_Value
TrajNorm_noStandardization,com_minus_iep,0.0279157652664764,-0.260503171523899,0.307094269113521,0.8336
TrajNorm_noStandardization,com_minus_traj,0.153137992775715,-0.16081176885092,0.474435482031444,0.3354
TrajNorm_noStandardization,com_minus_x_std,0.102131760594224,-0.204072305180754,0.409131042077028,0.5442
TrajNorm_noStandardization,vel_minus_com,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_auc,0.234359171647647,0.0540537278937925,0.526159713505518,0.0102
TrajNorm_noStandardization,max_vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_ra,0.262804103971402,0.0594466137746999,0.588439659641215,0.0092
TrajNorm_noStandardization,kb_rt_minus_tot_dist,0.224603869946451,-0.543353499620532,0.943722104716712,0.523
TrajNorm_noStandardization,tot_dist_minus_head_angle,0.544193162239352,0.24339487992169,1.06654044444267,0
TrajNorm_noStandardization,tot_dist_minus_iep,0.514866612618527,0.224459156341939,1.02985665051854,0
TrajNorm_noStandardization,tot_dist_minus_traj,0.640088840127765,0.280466737509375,1.2155481862073,0
TrajNorm_noStandardization,tot_dist_minus_x_std,0.589082607946275,0.177231334467042,1.18817777455501,0.0048
TrajNorm_noStandardization,vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_noStandardization,max_vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_noStandardization,auc_minus_ra,0.0284449323237553,-0.0524893474413345,0.122064732236561,0.4924
TrajNorm_noStandardization,kb_rt_minus_auc,0.458963041594098,-0.133289203125017,1.1026016034186,0.1176
TrajNorm_noStandardization,auc_minus_head_angle,0.309833990591705,0.10114685427557,0.618640364334519,0.0028
TrajNorm_noStandardization,auc_minus_iep,0.28050744097088,0.0794345943869593,0.583414296562474,0.0058
TrajNorm_noStandardization,auc_minus_traj,0.405729668480119,0.146694144075036,0.782436471963915,0.003
TrajNorm_noStandardization,auc_minus_x_std,0.354723436298628,0.040898176323758,0.766774872202134,0.0276
TrajNorm_noStandardization,vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_noStandardization,kb_rt_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_noStandardization,head_angle_minus_max_vel,NaN,NaN,NaN,0
